@relation IBM-HR-Employee-Attrition-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Llast-weka.filters.unsupervised.attribute.Remove-R37-38-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute Age numeric
@attribute Attrition {Yes,No}
@attribute BusinessTravel {Travel_Rarely,Travel_Frequently,Non-Travel}
@attribute DailyRate numeric
@attribute Department {Sales,'Research & Development','Human Resources'}
@attribute DistanceFromHome numeric
@attribute Education numeric
@attribute EducationField {'Life Sciences',Other,Medical,Marketing,'Technical Degree','Human Resources'}
@attribute EmployeeCount numeric
@attribute EmployeeNumber numeric
@attribute EnvironmentSatisfaction numeric
@attribute Gender {Female,Male}
@attribute HourlyRate numeric
@attribute JobInvolvement numeric
@attribute JobLevel numeric
@attribute JobRole {'Sales Executive','Research Scientist','Laboratory Technician','Manufacturing Director','Healthcare Representative',Manager,'Sales Representative','Research Director','Human Resources'}
@attribute JobSatisfaction numeric
@attribute MaritalStatus {Single,Married,Divorced}
@attribute MonthlyIncome numeric
@attribute MonthlyRate numeric
@attribute NumCompaniesWorked numeric
@attribute Over18 {Y}
@attribute OverTime {Yes,No}
@attribute PercentSalaryHike numeric
@attribute PerformanceRating numeric
@attribute RelationshipSatisfaction numeric
@attribute StandardHours numeric
@attribute StockOptionLevel numeric
@attribute TotalWorkingYears numeric
@attribute TrainingTimesLastYear numeric
@attribute WorkLifeBalance numeric
@attribute YearsAtCompany numeric
@attribute YearsInCurrentRole numeric
@attribute YearsSinceLastPromotion numeric
@attribute YearsWithCurrManager numeric
@attribute Class_Attrition {Yes,No}

@data
42,No,Travel_Rarely,810,'Research & Development',23,5,'Life Sciences',1,468,1,Female,44,3,4,'Research Director',4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,No
29,No,Non-Travel,746,Sales,2,3,'Life Sciences',1,469,4,Male,61,3,2,'Sales Executive',3,Married,4649,16928,1,Y,No,14,3,1,80,1,4,3,2,4,3,0,2,No
42,No,Travel_Rarely,544,'Human Resources',2,1,'Technical Degree',1,470,3,Male,52,3,1,'Human Resources',3,Divorced,2696,24017,0,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0,No
32,No,Travel_Rarely,1062,'Research & Development',2,3,Medical,1,471,3,Female,75,3,1,'Laboratory Technician',2,Married,2370,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,7,No
37,No,Travel_Rarely,1319,'Research & Development',6,3,Medical,1,474,3,Male,51,4,2,'Research Scientist',1,Divorced,5974,17001,4,Y,Yes,13,3,1,80,2,13,2,3,7,7,6,7,No
30,No,Non-Travel,641,Sales,25,2,'Technical Degree',1,475,4,Female,85,3,2,'Sales Executive',3,Married,4736,6069,7,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2,No
26,No,Travel_Rarely,933,Sales,1,3,'Life Sciences',1,476,3,Male,57,3,2,'Sales Executive',3,Married,5296,20156,1,Y,No,17,3,2,80,1,8,3,3,8,7,7,7,No
21,Yes,Travel_Frequently,756,Sales,1,1,'Technical Degree',1,478,1,Female,99,2,1,'Sales Representative',2,Single,2174,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2,Yes
36,No,Non-Travel,845,Sales,1,5,Medical,1,479,4,Female,45,3,2,'Sales Executive',4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,No
36,No,Travel_Frequently,541,Sales,3,4,Medical,1,481,1,Male,48,2,3,'Sales Executive',4,Married,9699,7246,4,Y,No,11,3,1,80,1,16,2,3,13,9,1,12,No
