@relation 'IBM-HR-Employee-Attrition_preprocess-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S1-weka.filters.unsupervised.attribute.Remove-R1-5,7-9,11-12,14-15,17-24,26,28-29,32-35'

@attribute Education numeric
@attribute EnvironmentSatisfaction numeric
@attribute JobInvolvement numeric
@attribute JobSatisfaction numeric
@attribute RelationshipSatisfaction numeric
@attribute StockOptionLevel numeric
@attribute WorkLifeBalance numeric
@attribute YearsAtCompany numeric

@data
3,3,3,3,3,0,3,0
3,4,2,3,1,0,3,0
3,2,3,2,4,0,3,0
2,2,3,4,4,0,3,0
1,3,3,3,4,0,3,0
3,4,3,4,3,0,4,0
2,2,3,4,3,0,4,0
3,2,3,3,3,0,1,0
1,4,3,3,4,0,2,0
1,2,3,2,4,0,3,1
2,1,2,4,3,0,4,1
3,4,2,2,2,0,4,1
3,2,4,4,4,0,3,1
3,4,2,4,2,0,3,1
3,4,2,2,4,0,4,1
1,4,3,3,4,0,3,1
3,3,2,3,4,0,2,2
3,1,3,1,2,0,3,1
3,4,2,1,1,0,3,1
3,4,3,4,2,0,3,2
3,1,2,3,1,0,2,2
3,3,4,4,4,0,3,2
3,3,3,3,1,0,3,2
1,4,3,1,1,0,3,2
2,3,3,4,4,0,3,0
2,4,2,3,1,0,4,3
1,1,2,2,3,0,3,3
3,3,4,2,4,0,3,1
1,3,3,3,3,0,3,3
1,4,3,4,1,0,2,1
3,3,2,1,1,0,2,1
1,4,2,2,3,0,4,2
1,3,3,4,3,0,3,2
1,2,3,2,2,0,3,1
1,3,3,1,4,0,3,2
2,4,4,4,2,2,2,1
3,2,3,4,3,0,3,0
1,3,3,4,3,1,3,2
3,4,4,2,1,1,2,4
3,1,3,2,4,1,3,2
1,3,2,3,3,0,3,2
1,2,3,3,1,1,4,3
1,2,1,1,1,1,2,4
4,3,2,4,2,1,3,0
2,2,2,3,2,0,2,4
1,3,3,1,3,0,3,1
2,4,3,3,4,0,4,3
