sentiment,Text,,,,,,,,,,,,,Column Labels,,,
-1, Wow Yall needa step it up Apple RT heynyla Music and snapchat at the same damn time Thank you Note4 ,,,,,,,,,,,,,-1,0,1,Grand Total
0, What Happened To Apple Inc?   httptcoFJEXI3oP0U  aapl apple MoneyPress httptcowXKmmTMArW ,,,,,,,,,,,,Count of Text,215,244,41,500
1, Thank u apple I can now compile all of the pics that i communicate with in one place httptcotq1lo09oyA ,,,,,,,,,,,,,,,,
0, The oddly uplifting story of the Apple cofounder who sold his stake for 800 AAPL aapl httptcoCiZbVR05PJ ,,,,,,,,,,,,,,,,
0, apple can i exchange my iphone for a different color lmao  i changed my mind ,,,,,,,,,,,,Negative,215,,,
-1, RT JPDesloges Apple Acted Unfairly In Suppressing Digital Music Competition Paul Kedrosky AAPL aapl httptcoXTbFhpbYf7 ,,,,,,,,,,,,Neutral ,244,,,
0, Lets not forget that press effects stock Apple to Defend Against iPod Antitrust Suit httptcopqJ0bKIMb8 ,,,,,,,,,,,,Positive,41,,,
-1, Apple Inc Deleted Songs From Rival Services From iPods httptcodQwDFpcc4x AAPL ,,,,,,,,,,,,,,,,
0, TeamCavuto Apple Theyre staging a die in ar an Apple store while being on their iPhone ,,,,,,,,,,,,,,,,
-1, Happy Monday My camera on my fancy Apple iPhone6Plus suddenly stopped working this weekend so instead  I meme httptcoXdySgcxUuv ,,,,,,,,,,,,,,,,
-1, Facebook CEO Mark Zuckerberg criticizes Apple AAPL aapl httptcoEVrsNVdeXe ,,,,,,,,,,,,,,,,
-1, fuck you too apple ,,,,,,,,,,,,,,,,
-1, Apple  you need to sort your phones out ,,,,,,,,,,,,,,,,
0, OneRepublic Apple 45000 feet keep flying ,,,,,,,,,,,,,,,,
0, MarkZuckerbergF of facebook and tim cook of apple are sparring but can we plz talk REAL connectivity on the web? httptcoAKfHP9pL9X ,,,,,,,,,,,,,,,,
-1, APPLE YOURE SHIT FIX MY PROBLEM ,,,,,,,,,,,,,,,,
0, Up 169 Is Apple Supplier Skyworks Still A Buy? SWKS  AAPL BRCM MU QCOM VTI httptcoYcxoMNmHqo ,,,,,,,,,,,,,,,,
-1, Theyre not RT Naivana You gotta be kidding me apple httptcoGeeL25AlT1 ,,,,,,,,,,,,,,,,
0, What to expect from Apple in 2015 AAPL aapl httptco7Dq9vBdt3H ,,,,,,,,,,,,,,,,
0, Confirmed Bose speakers returning to Apple Stores after removal earlier this year  httptcoyXPyde3TvQ AAPL BeatsElectronics ,,,,,,,,,,,,,,,,
-1, apple iphone4 oh its not fair and i think youre really mean ,,,,,,,,,,,,,,,,
0, How Competition Between Wireless Carriers Benefits Apple Inc  The Motley Fool aapl httptcomQe4NT0vXr ,,,,,,,,,,,,,,,,
0, Does apple store in Georgetown sell refurbd iPads? Or just new? Are refurbs only available online? ,,,,,,,,,,,,,,,,
-1, How is my battery already 83 within 15 minutes of usage Fix up apple ,,,,,,,,,,,,,,,,
-1, UberFacts i can think of 100 reasons not to if your on a 4s Fuck apple ,,,,,,,,,,,,,,,,
-1, How long does it really take for a phone to ship apple smh ,,,,,,,,,,,,,,,,
-1, brwnskinbeauti cause fuck apple ,,,,,,,,,,,,,,,,
-1, lanadelreystan KILL YOURSELF apple ,,,,,,,,,,,,,,,,
0, THEHIITCOACH weightsmate Apple its similar to an existing app called cardio guru interestingly Maybe Apple have noticed this? ,,,,,,,,,,,,,,,,
0, AAPLPale hoarse Steve Jobs defends Apple in videotaped deposition in iPodhttptcoSNmpSx4TDo ,,,,,,,,,,,,,,,,
-1, apple ur a disgrace ,,,,,,,,,,,,,,,,
