sentiment,Text
-1, apple  ios8 iphone6 issues device with voicemail 4 the phone being a phone it seems under developed Ielisten message and take a note 
0, Apple needs to consider these emojis I REALLY NEED THEM IN MY LIFE httptcoHYpcrcgJ44 via buzzfeed 
0, First to own 2600 digital languages is the NEW leader of the Internet Samsung  google apple MicromaxMobile onlinegaming  WoWen 
1, Apple Apple sales soar after launch of iPhone6 Wednesday 3 December httptcoQrV3LxeVgm 
-1, if my phone dies mid tweet I will SUE you apple 
-1, Dear Apple I place all my browser eggs in the Safari basket Guess what? Safari is broken please fix the release you pulled FAIL 
0, swerviinnn Apple multiply by 100 
-1, MY TMOBILEAPPLE CELLULAR HELL httptcoGs9wNwmawu apple TMobile iPhone6 iPhone6Plus Apple TMobile tech httptcoauHhLb0Plv 
1, OneRepublic Apple this is awesome Can I join? 
0, IPhone6 Plus Captures 41 of US phablet Sales aapl httptcopbM5D7Z7Gw 
0, Holiday weekend apple v android who came out on top? httptcoWEpQ4CunCr httptcopNX4QKuymh 
0, 5wa Haha Apple techs seeing the CondoSeniors cookery should jump at opportunity  
1, RT aaaron Insanely great news adroll teams up with apple for iAds programmatic launch httptcol5flNuBtBa 
0, Apple plans to build a technical center in Yokohama Japan adding dozens of jobs httptcosZKNKcE5iN AAPL 
0, Apple Pay Or google Wallet Which is Better? BiztechLTD httptcogZXeMYRwln httptcostDkprq0SR 
-1, Former Apple Inc Exec Gets A Year In Prison For Selling Secrets httptco6Ya9YQwVlR AAPL 
0, ggwpapple higher ups can link that link back to your applecom email address 
-1, my iphone6 plus is impossible to hold without a cover it slides out if my hand apple iphone apple 
0, RT KirkYuhnke What do you think? Want an Apple Watch? httptco7HjDjQ1iAb 
0, aapl might invest in Tsla to increase RampD plus increase production multifolds in EV Cars SUVs By 2015 most of US amp ChinaSupercharged 
-1, GMONEYizME Ive probably spent more on replacing non functioning Iphone cables than Ive spent on iPhones apple  SwitchToLumia 
0, Alabama antidiscrimination bill to be named after Apples Tim Cook httptcotnuYzI7QbT AAPL 
0, Why Apple Needs China to Love the Apple Watch  AAPL aapl httptcoJxo4stP9b7 
0, APPLE  Fibonacci Technicals Levels  Intraday  PreOpening AAPL aapl  httptcoueCSTwoPcp 
-1, Why did apple send me a new computer today and it is broken whyamihavingtomakegeniusbarappointmentsalready 
0, Watch out Apple  httptcoB3Uq7YeDlx 
-1, apple my laptop is burning my legs what do u have to say about this 
0, Rumor Roundup Crescentgategate AAPL aapl httptcoiQOYgnD72G 
0, Worth reading design comparison of Google and Apples map apps httptco7vGUivRy0C UX 
-1, RT tschwettman hey apple why wont you let me facetime claire stop being rude 
1, RT hsmoghul My apple autocorrect changes Muslim to awesome and Im okay with that 
-1, apple the fact these itunes updates makes it anal to reset play counts sometimes yall do the mosttttt 
0, RT thehill Justice Department cites 18th century federal law to get Apple to unlock iPhones httptcoEth0QpAIom 
0, apple I wish camera on the side in next iPhone and landscapeTwitter on twitter app in new 2015 RD 
-1, DEAR APPLE THIS IS THE WORSE SERVICE EVER apple httptcoJHPs71DF0W 
0, Apple Wants To Make Your Commute Much Easier According To This New Patent aapl httptcofKMNHCmwJU httptcowdqAzQowt3 
0, OneRepublic Studio at 45000 ft One outlet 4 computers Apple we need the batteries of the future NoW httptcoMjnnSFZFp5 
1, jakeflem Apple  Sorry that youre going through that hope you get this fix it was a real pain for us too  but Apple care cover it for free 
0, AAPLiPhone 7 Rumors Might be Called iPhone 6S Coming in 3 Styleshttptco0XbmuVdZpL 
-1, Yeah Ill definitely be going to the apple store after finals Damn MBP Graphics card failing again this is bullshit for a 2500 computer 
0, Headed to IKEA and Apple Store today Yikes or Yay? dayoffduties 
-1, Game*** Apple you bitches really trying me tonight RT DreMacsAMillion WhoSFlyy gams night gawd 
0, Sprint Offering to Halve Wireless Bills for Customers Switching From ATampT or Verizon iOS Blog httptcoChvmx9EHiy AAPL 
0, There needs to be a Texas flag emoji apple 
-1, RT JOJOxSweat WHY MY CHARGERS ALWAYS GET NECKS amp SHIT apple 
0, JMP raises Apple Inc price target to 150 on exceptionally strong demand for  httptcoSOmV4lx8Ao AAPL 
0, Pencil Skirt and Pacifier Tech Tuesday All About the Leather apple httptcovRRxo3SV0c 
-1, proof apple does not use its own products freaking MAIL shows up in SEARCH FOR FILE in the FINDER nut kicks httptco64hu4wqNkV 
0, UBS hikes FQ1 iPhone forecast following Google checks AAPL httptco92YmzRBBuw 
0, TeamCavuto FairOaksTrader Apple  Still Misplaced but they are the companies with the most power to do something 
0, MasterCard Teams up with Gwen Stefani to Promote Apple Pay AAPL aapl httptcoEToKp308cW 
-1, apple you are loosing all the things that used to make you so much better to live with than windows 
0, Photographing the White House Christmas Decorations With an iPhone 6 by BrooksKraftFoto  apple httptcolPDqbJqnV5 
0, Lol tryna figure out why this file say its from 1984? timcook apple StephanieKMBC httptcooxgYTgW3P7 
0, Here Is The New iPad Ad aapl httptcoEc6QKDdTsK httptcoCbpe7mtKvb 
0, 5SOS OMG THIS WOULD ACTUALLY BE A RLLY CUTE EMOJI apple 
0, RT Totterdells Explore all the Apple rumours for 2015 httptcodFfeIjBDZE Apple2015 TechIreland Apple httptcoM6vrskWmLF 
0, Apple with the Hour of Code for codeorg httptcomCxrLxX9kb via TechCrunch How about startups join and teach coding too? 
-1, Frustrated after unsuccessfully trying to fix outgoing SMTP configuration lt3 Apple but this is unacceptable YosemiteProblems apple help 
0, Apple cofounder Steve Wozniak talks about Steve Jobs amp Apples early days via DesignTaxi httptcoJWxSOuTLP7 
0, Morgan Stanley Sells Apple Inc but AAPL Stock Still a Buy AAPL aapl httptcow6zGbxeEs0 
0, Verr?cktes Ger?cht iPhone6s zum Apple Apple Watch Thursday 4 December httptcow8KyZdoUtE 
-1, Apple What the heck??? My phone screen looks like it lost a battle with a windstorm httptcoHcTgCIjxBS 
1, It makes you smarter  Elevate is apple app of the year  Congratulations jessepickard and team  httptcor0cgmthoCC 
0, RT IHCFO Gonna go out on a limb Twtr will be this decades AAPL 
1, OneRepublic Apple AppleAddict  The show in Paris was Amazing  Thank you guys  See you soon  
-1, OK utterly rediculous Takes 2 hrs to do a simple thing like syncing a ringtone? Itunes Accessability is horific Again Rediculous Apple 
1, Thank you Apple 
0, thehill Apple i cite the 4th amendment as a retort 
-1, Spent 6000 EUR at Apple iPhone 6 camera no longer worksTold I got water in itI did not Unacceptable customer service apple 
-1, Apple the no caller ID thing is scary as heck and I suggest you stop it 
0, THE FUTURE OF APPLE aapl httptco0MO7dUeyh6 httptcotxHppUeWp7 
0, AAPLMy Three Horsemen Of The NASDAQ 100  Apple Microsoft And Gilead SciehttptcocDvoZfGSBX 
0, Apple Inc Weekly Roundup Facebook Ads amp iPad 4 httptco1YrNUvCJel AAPL 
-1, ThisDueeMarco Apple thats annoying they never get stuff right the first time 
1, apple thank you httptcowmSinAAuQf 
-1, This is why I would never want to own an apple device But sadly people seem to be okay with that httptcoEK4vESbigs 
-1, how do I have 1 then plug in my phone and jumps to 4 apple stop playing games 
-1, Apple YOURE NOT EVEN THE REAL FUCKING APPLE COMPANY WHAT THE FUCK AM I SUPPOSED TO DO 
0, Apple What to Expect in 2015 httptco36w26XZlzb 
0, Alle News zu iPhone iPod und Apple Apple Watch Monday 8 December httptcoiO3m7jkK4t 
