Date,wind_generation_actual,wind_capacity,temperature
1/1/2017,291760,37149.13,-2.117
1/2/2017,295097,37152.125,-1.154
1/3/2017,666170,37155.208,-0.239
1/4/2017,686581,37160.125,0.62
1/5/2017,261759,37163.542,-3.908
1/6/2017,115720,37176.208,-7.724
1/7/2017,252308,37181,-5.861
1/8/2017,41260,37181.25,-1.616
1/9/2017,190982,37187.458,-1.629
1/10/2017,280371,37198.458,-2.586
1/11/2017,637258,37209.667,-0.727
1/12/2017,584792,37225.375,1.425
1/13/2017,518614,37234,-0.231
1/14/2017,487188,37234,-0.738
1/15/2017,229770,37234.208,-2.331
1/16/2017,69211,37239.25,-4.995
1/17/2017,79360,37246,-6.056
1/18/2017,148835,37269.375,-6.832
1/19/2017,127989,37279.042,-6.843
1/20/2017,109379,37303.375,-5.269
1/21/2017,78896,37312.417,-4.74
1/22/2017,50770,37322.542,-6.362
1/23/2017,39708,37335.667,-6.339
1/24/2017,31375,37351.917,-4.964
1/25/2017,70771,37374.417,-5.516
1/26/2017,235128,37407.917,-5.183
1/27/2017,254272,37429,-4.477
1/28/2017,208800,37429,-3.29
1/29/2017,304954,37429.5,-0.69
1/30/2017,338288,37441.333,0.402
1/31/2017,124782,37449.667,-0.101
2/1/2017,221295,37465.625,-0.586
2/2/2017,254393,37480.75,1.655
2/3/2017,188035,37498,2.775
2/4/2017,211454,37498.25,2.529
2/5/2017,118329,37504.667,1.74
2/6/2017,152118,37520.292,0.192
2/7/2017,264514,37527.5,-0.467
2/8/2017,219680,37539.875,-1.916
2/9/2017,207537,37560.792,-3.184
2/10/2017,290957,37579.125,-2.467
2/11/2017,329649,37582,-0.959
2/12/2017,350274,37582.458,-0.893
2/13/2017,338184,37593.125,-1.107
2/14/2017,205086,37596.458,-0.422
2/15/2017,98877,37608.167,2.12
2/16/2017,282403,37636.167,3.702
2/17/2017,255286,37663,3.137
2/18/2017,160162,37663.25,2.587
2/19/2017,348513,37669.792,2.228
2/20/2017,648800,37688.875,5.28
2/21/2017,580921,37710.167,6.749
2/22/2017,826273,37738,7.353
2/23/2017,705405,37761.958,6.915
2/24/2017,522107,37784.375,2.206
2/25/2017,413770,37793,2.241
2/26/2017,545142,37794.458,5.047
2/27/2017,558406,37830.375,7.595
2/28/2017,602221,37885,4.232
3/1/2017,463548,37885.167,3.805
3/2/2017,640789,37889.167,4.735
3/3/2017,323881,37893.25,4.63
3/4/2017,253250,37899.25,7.565
3/5/2017,375784,37905.333,5.728
3/6/2017,244778,37913.333,4.165
3/7/2017,98965,37921.458,3.038
3/8/2017,362634,37932.292,3.658
3/9/2017,348589,37939.25,6.696
3/10/2017,301930,37945.208,4.873
3/11/2017,142767,37950.25,4.364
3/12/2017,322131,37956.125,3.7
3/13/2017,107995,37959.333,4.196
3/14/2017,282163,37967.292,6.6
3/15/2017,310125,37974.167,7.235
3/16/2017,235857,37978.417,7.654
3/17/2017,520783,37988.208,7.042
